"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\alinb\FitnessAndNutrition\components\BodyPartComponent\BodyPartComponent.js", "JavaScript", 0, 56, 0, 8, 64
"c:\Users\alinb\FitnessAndNutrition\components\BodyPartComponent\index.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\NavigationBarComponent\NavigationBarComponent.js", "JavaScript", 0, 43, 0, 2, 45
"c:\Users\alinb\FitnessAndNutrition\package-lock.json", "JSON", 52, 0, 0, 0, 52
"c:\Users\alinb\FitnessAndNutrition\package.json", "JSON", 1, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\screens\EducativeScreen\EducativeScreen.js", "JavaScript", 0, -7, 0, -2, -9
"c:\Users\alinb\FitnessAndNutrition\screens\ExerciseScreen\ExerciseScreen.js", "JavaScript", 0, 22, 0, 4, 26
"c:\Users\alinb\FitnessAndNutrition\screens\ExerciseScreen\index.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\screens\FitnessScreen\FitnessScreen.js", "JavaScript", 0, 74, 0, 2, 76
"c:\Users\alinb\FitnessAndNutrition\screens\InformativeScreen\InformativeScreen.js", "JavaScript", 0, -28, 0, -2, -30
"c:\Users\alinb\FitnessAndNutrition\screens\MapScreen\MapScreen.js", "JavaScript", 0, 20, 0, 4, 24
"c:\Users\alinb\FitnessAndNutrition\screens\MapScreen\index.js", "JavaScript", 0, 1, 0, 0, 1
"Total", "-", 53, 183, 0, 16, 252
