Date : 2024-06-15 02:31:39
Directory : c:\Users\alinb\FitnessAndNutrition
Total : 62 files,  16557 codes, 0 comments, 300 blanks, all 16857 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     14,407 |          0 |          3 |     14,410 |
| JavaScript         |         57 |      2,133 |          0 |        293 |      2,426 |
| TypeScript JSX     |          1 |         11 |          0 |          3 |         14 |
| JSON with Comments |          1 |          6 |          0 |          1 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |         62 |     16,557 |          0 |        300 |     16,857 |
| . (Files)                                                                                           |          6 |     14,430 |          0 |          8 |     14,438 |
| components                                                                                          |         22 |        634 |          0 |         76 |        710 |
| components\BodyPartComponent                                                                        |          2 |         57 |          0 |          8 |         65 |
| components\CustomInput                                                                              |          2 |         38 |          0 |          7 |         45 |
| components\DatePickerComponent                                                                      |          2 |         50 |          0 |          7 |         57 |
| components\GenderButton                                                                             |          2 |         44 |          0 |          5 |         49 |
| components\HeightSelectorComponent                                                                  |          2 |         49 |          0 |          6 |         55 |
| components\InformativeComponent                                                                     |          2 |         84 |          0 |          6 |         90 |
| components\KnowledgeComponent                                                                       |          2 |        116 |          0 |          7 |        123 |
| components\NavigationBarComponent                                                                   |          2 |         83 |          0 |          8 |         91 |
| components\RoundImage                                                                               |          2 |         26 |          0 |          4 |         30 |
| components\customButton                                                                             |          2 |         38 |          0 |         12 |         50 |
| components\weightSelectorComponent                                                                  |          2 |         49 |          0 |          6 |         55 |
| contents                                                                                            |          2 |        204 |          0 |         60 |        264 |
| screens                                                                                             |         32 |      1,289 |          0 |        156 |      1,445 |
| screens\ActivityScreen                                                                              |          2 |        131 |          0 |         10 |        141 |
| screens\CalorieScreen                                                                               |          2 |         23 |          0 |          4 |         27 |
| screens\EducativeScreen                                                                             |          2 |         20 |          0 |          4 |         24 |
| screens\ExerciseScreen                                                                              |          2 |         23 |          0 |          4 |         27 |
| screens\FitnessScreen                                                                               |          2 |         97 |          0 |          6 |        103 |
| screens\GoalScreen                                                                                  |          2 |        103 |          0 |          9 |        112 |
| screens\GoalTimeScreen                                                                              |          2 |        109 |          0 |         12 |        121 |
