"filename", "language", "JSON with Comments", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\alinb\FitnessAndNutrition\app.json", "JSON", 0, 8, 0, 0, 0, 8
"c:\Users\alinb\FitnessAndNutrition\components\BodyPartComponent\BodyPartComponent.js", "JavaScript", 0, 0, -56, 0, -8, -64
"c:\Users\alinb\FitnessAndNutrition\components\BodyPartComponent\bodypartComponent.js", "JavaScript", 0, 0, 172, 1, 13, 186
"c:\Users\alinb\FitnessAndNutrition\components\ExerciseBodyPartComponent\ExerciseBodyPartComponent.js", "JavaScript", 0, 0, 223, 1, 18, 242
"c:\Users\alinb\FitnessAndNutrition\components\ExerciseBodyPartComponent\index.js", "JavaScript", 0, 0, 1, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\NavigationBarComponent\NavigationBarComponent.js", "JavaScript", 0, 0, 12, 0, 0, 12
"c:\Users\alinb\FitnessAndNutrition\package-lock.json", "JSON", 0, 508, 0, 0, 0, 508
"c:\Users\alinb\FitnessAndNutrition\package.json", "JSON", 0, 4, 0, 0, 0, 4
"c:\Users\alinb\FitnessAndNutrition\screens\ExerciseInfoScreen\ExerciseInfoScreen.js", "JavaScript", 0, 0, 19, 0, 4, 23
"c:\Users\alinb\FitnessAndNutrition\screens\ExerciseInfoScreen\index.js", "JavaScript", 0, 0, 1, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\screens\ExerciseScreen\ExerciseScreen.js", "JavaScript", 0, 0, -5, 0, 0, -5
"c:\Users\alinb\FitnessAndNutrition\screens\InDepthExerciseScreen\InDepthExerciseScreen.js", "JavaScript", 0, 0, 165, 1, 11, 177
"c:\Users\alinb\FitnessAndNutrition\screens\InDepthExerciseScreen\index.js", "JavaScript", 0, 0, 1, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\screens\MapScreen\MapScreen.js", "JavaScript", 0, 0, 194, 0, 10, 204
"c:\Users\alinb\FitnessAndNutrition\tsconfig.json", "JSON with Comments", 5, 0, 0, 0, 0, 5
"Total", "-", 5, 520, 727, 3, 48, 1303
