"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\alinb\FitnessAndNutrition\components\ExerciseBodyPartComponent\ExerciseBodyPartComponent.js", "JavaScript", -1, 0, 0, 0, -1
"c:\Users\alinb\FitnessAndNutrition\components\FoodComponent\FoodComponent.js", "JavaScript", 137, 0, 0, 10, 147
"c:\Users\alinb\FitnessAndNutrition\components\FoodComponent\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\FoodDashboardComponent\FoodDashboardComponent.js", "JavaScript", 99, 0, 0, 9, 108
"c:\Users\alinb\FitnessAndNutrition\components\FoodDashboardComponent\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\MicroDashboardComponent\MicroDashboardComponent.js", "JavaScript", -1, 0, 0, 0, -1
"c:\Users\alinb\FitnessAndNutrition\components\MicronutrientsOverviewComponent\MicronutrientsOverviewComponent.js", "JavaScript", -1, 0, 0, 0, -1
"c:\Users\alinb\FitnessAndNutrition\components\NavigationBarComponent\NavigationBarComponent.js", "JavaScript", 6, 0, 0, 0, 6
"c:\Users\alinb\FitnessAndNutrition\components\WaterIntakeComponent\WaterIntakeComponent.js", "JavaScript", 93, 0, 0, 8, 101
"c:\Users\alinb\FitnessAndNutrition\components\WaterIntakeComponent\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\package-lock.json", "JSON", 0, -5, 0, 0, -5
"c:\Users\alinb\FitnessAndNutrition\package.json", "JSON", 0, 3, 0, 0, 3
"c:\Users\alinb\FitnessAndNutrition\screens\CalorieScreen\CalorieScreen.js", "JavaScript", -151, 0, 0, -9, -160
"c:\Users\alinb\FitnessAndNutrition\screens\FoodScreen\FoodScreen.js", "JavaScript", 117, 0, 0, 8, 125
"c:\Users\alinb\FitnessAndNutrition\screens\FoodScreen\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\screens\MicronutrientsScreen\MicronutrientsScreen.js", "JavaScript", 19, 0, 0, 3, 22
"Total", "-", 321, -2, 0, 29, 348
