"filename", "language", "JavaScript", "JSON with Comments", "JSON", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\alinb\FitnessAndNutrition\App.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 3, 14
"c:\Users\alinb\FitnessAndNutrition\app.json", "JSON", 0, 0, 35, 0, 0, 1, 36
"c:\Users\alinb\FitnessAndNutrition\babel.config.js", "JavaScript", 6, 0, 0, 0, 0, 1, 7
"c:\Users\alinb\FitnessAndNutrition\components\BodyPartComponent\bodypartComponent.js", "JavaScript", 172, 0, 0, 0, 1, 13, 186
"c:\Users\alinb\FitnessAndNutrition\components\BodyPartComponent\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\CustomInput\CustomInput.js", "JavaScript", 37, 0, 0, 0, 0, 7, 44
"c:\Users\alinb\FitnessAndNutrition\components\CustomInput\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\DashboardComponent\DashboardComponent.js", "JavaScript", 154, 0, 0, 0, 0, 10, 164
"c:\Users\alinb\FitnessAndNutrition\components\DashboardComponent\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\DatePickerComponent\DatePickerComponent.js", "JavaScript", 49, 0, 0, 0, 0, 7, 56
"c:\Users\alinb\FitnessAndNutrition\components\DatePickerComponent\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\ExerciseBodyPartComponent\ExerciseBodyPartComponent.js", "JavaScript", 222, 0, 0, 0, 1, 18, 241
"c:\Users\alinb\FitnessAndNutrition\components\ExerciseBodyPartComponent\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\FoodComponent\FoodComponent.js", "JavaScript", 137, 0, 0, 0, 0, 10, 147
"c:\Users\alinb\FitnessAndNutrition\components\FoodComponent\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\FoodDashboardComponent\FoodDashboardComponent.js", "JavaScript", 99, 0, 0, 0, 0, 9, 108
"c:\Users\alinb\FitnessAndNutrition\components\FoodDashboardComponent\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\GenderButton\GenderButton.js", "JavaScript", 43, 0, 0, 0, 0, 5, 48
"c:\Users\alinb\FitnessAndNutrition\components\GenderButton\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\HeightSelectorComponent\HeightSelectorComponent.js", "JavaScript", 48, 0, 0, 0, 0, 6, 54
"c:\Users\alinb\FitnessAndNutrition\components\HeightSelectorComponent\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\InformativeComponent\InformativeComponent.js", "JavaScript", 83, 0, 0, 0, 0, 6, 89
"c:\Users\alinb\FitnessAndNutrition\components\InformativeComponent\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\KnowledgeComponent\KnowledgeComponent.js", "JavaScript", 115, 0, 0, 0, 0, 7, 122
"c:\Users\alinb\FitnessAndNutrition\components\KnowledgeComponent\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\MicroDashboardComponent\MicroDashboardComponent.js", "JavaScript", 107, 0, 0, 0, 0, 6, 113
"c:\Users\alinb\FitnessAndNutrition\components\MicroDashboardComponent\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\MicronutrientsOverviewComponent\MicronutrientsOverviewComponent.js", "JavaScript", 119, 0, 0, 0, 0, 9, 128
"c:\Users\alinb\FitnessAndNutrition\components\MicronutrientsOverviewComponent\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\NavigationBarComponent\NavigationBarComponent.js", "JavaScript", 118, 0, 0, 0, 0, 9, 127
"c:\Users\alinb\FitnessAndNutrition\components\NavigationBarComponent\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\RoundImage\RoundImage.js", "JavaScript", 25, 0, 0, 0, 0, 4, 29
"c:\Users\alinb\FitnessAndNutrition\components\RoundImage\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\WaterIntakeComponent\WaterIntakeComponent.js", "JavaScript", 93, 0, 0, 0, 0, 8, 101
"c:\Users\alinb\FitnessAndNutrition\components\WaterIntakeComponent\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\components\customButton\customButton.js", "JavaScript", 37, 0, 0, 0, 0, 11, 48
"c:\Users\alinb\FitnessAndNutrition\components\customButton\index.js", "JavaScript", 1, 0, 0, 0, 0, 1, 2
"c:\Users\alinb\FitnessAndNutrition\components\weightSelectorComponent\WeightSelectorComponent.js", "JavaScript", 48, 0, 0, 0, 0, 6, 54
"c:\Users\alinb\FitnessAndNutrition\components\weightSelectorComponent\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\contents\EducativeContent.js", "JavaScript", 59, 0, 0, 0, 0, 3, 62
"c:\Users\alinb\FitnessAndNutrition\contents\InformativeContent.js", "JavaScript", 145, 0, 0, 0, 0, 57, 202
"c:\Users\alinb\FitnessAndNutrition\package-lock.json", "JSON", 0, 0, 15151, 0, 0, 1, 15152
"c:\Users\alinb\FitnessAndNutrition\package.json", "JSON", 0, 0, 50, 0, 0, 1, 51
"c:\Users\alinb\FitnessAndNutrition\screens\ActivityScreen\ActivityScreen.js", "JavaScript", 130, 0, 0, 0, 0, 10, 140
"c:\Users\alinb\FitnessAndNutrition\screens\ActivityScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\screens\CalorieScreen\CalorieScreen.js", "JavaScript", 28, 0, 0, 0, 0, 4, 32
"c:\Users\alinb\FitnessAndNutrition\screens\CalorieScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\screens\EducativeScreen\EducativeScreen.js", "JavaScript", 19, 0, 0, 0, 0, 4, 23
"c:\Users\alinb\FitnessAndNutrition\screens\EducativeScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\screens\ExerciseInfoScreen\ExerciseInfoScreen.js", "JavaScript", 19, 0, 0, 0, 0, 4, 23
"c:\Users\alinb\FitnessAndNutrition\screens\ExerciseInfoScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\screens\ExerciseScreen\ExerciseScreen.js", "JavaScript", 17, 0, 0, 0, 0, 4, 21
"c:\Users\alinb\FitnessAndNutrition\screens\ExerciseScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\screens\FitnessScreen\FitnessScreen.js", "JavaScript", 96, 0, 0, 0, 0, 6, 102
"c:\Users\alinb\FitnessAndNutrition\screens\FitnessScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\screens\FoodScreen\FoodScreen.js", "JavaScript", 117, 0, 0, 0, 0, 8, 125
"c:\Users\alinb\FitnessAndNutrition\screens\FoodScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\screens\GoalScreen\GoalScreen.js", "JavaScript", 102, 0, 0, 0, 0, 9, 111
"c:\Users\alinb\FitnessAndNutrition\screens\GoalScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\screens\GoalTimeScreen\GoalTimeScreen.js", "JavaScript", 108, 0, 0, 0, 0, 12, 120
"c:\Users\alinb\FitnessAndNutrition\screens\GoalTimeScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\screens\HeightSelectorScreen\HeightSelectorScreen.js", "JavaScript", 96, 0, 0, 0, 0, 11, 107
"c:\Users\alinb\FitnessAndNutrition\screens\HeightSelectorScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\screens\InDepthExerciseScreen\InDepthExerciseScreen.js", "JavaScript", 165, 0, 0, 0, 1, 11, 177
"c:\Users\alinb\FitnessAndNutrition\screens\InDepthExerciseScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\screens\InformativeScreen\InformativeScreen.js", "JavaScript", 6, 0, 0, 0, 0, 3, 9
"c:\Users\alinb\FitnessAndNutrition\screens\InformativeScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\screens\MapScreen\MapScreen.js", "JavaScript", 214, 0, 0, 0, 0, 14, 228
"c:\Users\alinb\FitnessAndNutrition\screens\MapScreen\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"c:\Users\alinb\FitnessAndNutrition\screens\MicronutrientsScreen\MicronutrientsScreen.js", "JavaScript", 45, 0, 0, 0, 0, 7, 52
